rank_by_demand,GEOHASH,mean_speed,peak_hour_vehicle_count,total_vehicle_count,lat,lon,veh_mean,veh_std,mean_daily_vehicle_count,cv,consistency,vol_norm,speed_norm,cons_norm,demand_score,nearest_station_km,dist_norm,underserved_score
1334,sxk9ut,49.86666666666667,66,3437,41.1190795898438,29.0313720703125,20.830303030303032,14.884770512181085,491.0,0.7145729224300187,0.583235619155076,0.043205522245175584,0.3697487277913718,0.2946632698161782,0.2696107967484119,0.6905248205656316,0.009531885093842554,0.217595014417498
1335,sxk6xe,75.44,140,2677,41.23992919921879,28.8116455078125,107.08,24.00854014720595,382.42857142857144,0.22421124530240696,0.8168524867233825,0.033632286995515695,0.6183176911834563,0.6900390866073309,0.26932865346418716,4.977148050044039,0.07056790256889375,0.2295765032851285
1336,sxk3kz,61.583333333333336,650,7234,41.0421752929688,28.6907958984375,301.4166666666667,190.80172195619534,1033.4285714285713,0.6330164952907791,0.6123636857825723,0.09103390940696325,0.4836329700128495,0.3439599377077899,0.2692190512411848,3.4108452597759533,0.04826575951592081,0.225028392896132
1337,sxk3pu,52.5,82,850,40.9817504882813,28.8226318359375,35.416666666666664,18.87237840513661,121.42857142857143,0.5328671549535176,0.6523722533739879,0.010618733309820123,0.3953443327287737,0.41167088792620626,0.2690402444215192,0.5770797815751689,0.007916573224429136,0.21681551018210118
1338,sxk90j,52.857142857142854,128,1254,40.9872436523438,28.8336181640625,59.714285714285715,33.18153531279537,209.0,0.5556716439848753,0.6428091711169109,0.018340303320401066,0.39881570772028374,0.3954862198506991,0.2686226833142552,0.53991756167237,0.007387430871119274,0.21637563282562802
1339,sxk3sn,55.0,163,2060,41.0806274414063,28.6578369140625,76.29629629629629,41.07948656597616,294.2857142857143,0.5384204549838927,0.6500173582328441,0.025860331536252328,0.419643957669345,0.4076854368773218,0.26857406584278704,7.8653859121656,0.11169270575016298,0.23719779382426223
1340,sxk3ke,65.66666666666667,506,6367,41.0202026367188,28.6798095703125,265.2916666666667,148.2370249961532,1061.1666666666667,0.5587700015539918,0.6415314632710826,0.09347970306175576,0.5233223574157827,0.3933238127076569,0.26840790684767446,0.9006759498634554,0.012524167670024197,0.21723115901214443
1341,sxk3tf,61.5,736,7122,41.0586547851563,28.7347412109375,323.72727272727275,206.0538953580053,1017.4285714285714,0.6365045911067275,0.6110584751392141,0.08962311684385549,0.48282298251483047,0.3417509845205746,0.2683148605715935,2.541015239220736,0.03588049552308035,0.22182798756189084
1342,sxkbfc,56.63333333333333,204,2587,40.9213256835938,29.3060302734375,86.23333333333333,45.76829450186225,369.57142857142856,0.5307494530498434,0.6532747720455586,0.032498614400161226,0.4355197126305182,0.4131983206867591,0.268233057548277,3.400173946522795,0.048113813700454124,0.22420920877871242
1343,sxk1bu,53.875,52,837,41.1135864257813,28.1634521484375,26.15625,13.510114192110702,139.5,0.5165157158076631,0.6594062887554198,0.012212173124401671,0.4087091264460879,0.42357536859671435,0.2682084223477173,44.70925709085497,0.6363021814900339,0.34182717417618064
1344,sxkdhd,56.30434782608695,99,1208,41.1465454101563,29.0313720703125,52.52173913043478,25.24582695528365,172.57142857142858,0.4806738575831693,0.6753681743474897,0.01512823096689676,0.43232202285573,0.4505894434757311,0.26798539732187554,1.0845753905660491,0.015142659866676018,0.21741684983083565
1345,sxk396,63.90909090909091,77,1089,41.0586547851563,28.5369873046875,49.5,17.11515619059819,155.57142857142858,0.3457607311162107,0.7430741415456317,0.013629263868594749,0.50623898473029,0.5651757846129923,0.2679780934378088,13.03193875573295,0.18525779247790958,0.25143403324582897
1346,sxk67d,47.30434782608695,101,806,41.1904907226563,28.6358642578125,35.04347826086956,22.915810859574197,115.14285714285714,0.6539251237657151,0.6046222925274662,0.010064493374313496,0.3448433730696732,0.3308583166082597,0.26775089808790675,15.619857755502903,0.22210644019850614,0.25862200651002665
1347,sxkc52,63.67857142857143,285,3769,40.9597778320313,29.3280029296875,134.60714285714286,60.35042071455079,538.4285714285714,0.44834486070439605,0.6904432964353907,0.04738751448581649,0.5039983699630427,0.4761027498168816,0.26771479621737176,2.752692547480277,0.03889450893045258,0.22195073875998791
1348,sxk9uc,49.49700598802395,53,2952,41.0971069335938,29.0423583984375,17.676646706586826,12.627312843655229,421.7142857142857,0.7143500151663709,0.5833114539932232,0.0370962865924321,0.36615568145285377,0.29479161355002637,0.2676597615703652,1.5082509424265071,0.02117525638910317,0.2183628605341128
1349,sxk4pe,44.48148148148148,27,327,41.1520385742188,28.4600830078125,12.11111111111111,8.464102175719859,46.714285714285715,0.6988708217907238,0.5886262729181098,0.0040308358945936405,0.3174055356971634,0.30378647293409766,0.2675510518249673,24.113538351648263,0.3430455593001661,0.2826499533200071
1350,sxkd1c,72.74193548387096,303,6068,41.1410522460938,28.9105224609375,195.74193548387098,74.53006898424086,866.8571428571429,0.3807567795813552,0.724240514178898,0.07634655111603768,0.5920929088604964,0.53330154162373,0.26720571122461595,3.1771534736117313,0.044938288175307796,0.22275222661475433
1351,sxk3wd,53.1,61,860,41.0586547851563,28.7677001953125,28.666666666666668,15.324835226280367,122.85714285714286,0.5345872753167132,0.6516410086833392,0.010744696931526174,0.40117624271451074,0.4104333211792124,0.2671061398872524,1.8210544819811463,0.025629177642368516,0.21881074743827564
1352,sxk365,64.15384615384616,428,5360,41.0202026367188,28.5699462890625,206.15384615384616,104.72504659638678,765.7142857142857,0.5079946290098598,0.6631323353297313,0.06742832669924924,0.5086179689902063,0.42988137176786595,0.2671050470061359,9.222465732112708,0.13101578202048164,0.23988719400900504
1353,sxkc07,34.291666666666664,40,307,40.9762573242188,29.1961669921875,12.791666666666666,12.846854349087433,43.857142857142854,1.0043143464299507,0.4989237350823649,0.003778908651181538,0.21836206441161238,0.15197288800672912,0.26677541260345283,1.1128753796473585,0.015545615418316776,0.21652945316642563
1354,sxkbgu,57.8235294117647,8,75,40.9378051757813,29.3499755859375,4.411764705882353,1.8391174353957038,10.714285714285714,0.4168666185952031,0.7057827369745513,0.0008565526276011486,0.44708823995516667,0.5020633916807087,0.2667144826633923,4.670277206062303,0.06619845529229416,0.22661127718917268
1355,sxkdhe,53.285714285714285,151,1365,41.1520385742188,29.0313720703125,65.0,36.20359098211115,195.0,0.5569783227931411,0.6422696998157624,0.017105859827681764,0.402981357710096,0.39457321254712924,0.26657316511023793,0.573606975035925,0.007867124912956575,0.21483195707078165
1356,sxkb8f,54.0,65,697,40.8828735351563,29.2181396484375,31.681818181818183,16.48487434744597,116.16666666666667,0.5203260195586287,0.6577536575282146,0.010154767303202835,0.4099241076931165,0.42077843690204636,0.26625583872407577,1.9153100045160738,0.026971255406749488,0.2183989220606105
1357,sxk9kb,49.76190476190476,343,3427,41.0037231445313,29.0423583984375,163.1904761904762,121.89980272650938,489.57142857142856,0.7469786569130465,0.5724168386619125,0.04307955862346954,0.36873045779386215,0.2763534439089455,0.2661913307553652,1.005628902201855,0.014018563116055555,0.2157567772275033
1358,sxk968,50.2,371,3916,41.00372314453129,28.9434814453125,156.64,119.58256561890617,559.4285714285714,0.763422916356887,0.5670789410324397,0.04923917972489544,0.3729886777834481,0.2673195258654066,0.2661868917004946,1.7357566608115305,0.024414646057765978,0.2178324425719489
